dynamic_family_id,structural_mode_id,dynamic_structural_submode_id,n,fraction_within_dynamic,fraction_within_structural,approx_medoid_real_row,median_H_abs,IQR_H_mean
D004,S009,D004-S009,129,0.0239420935412026,0.0864611260053619,26656,5.756974220275879,33.53010559082031
D004,S010,D004-S010,114,0.0211581291759465,0.0763052208835341,47824,6.256515979766846,33.722938537597656
D004,S011,D004-S011,127,0.0235708982925018,0.0858108108108108,24368,6.0358710289001465,35.03036880493164
D004,S012,D004-S012,188,0.0348923533778767,0.138847858197932,46811,6.800991535186768,35.88979721069336
D004,S013,D004-S013,121,0.0224573125463994,0.086552217453505,33511,7.994726657867432,34.640018463134766
D004,S014,D004-S014,90,0.0167037861915367,0.0746268656716417,33154,9.574317932128906,34.93968200683594
D004,S015,D004-S015,119,0.0220861172976985,0.0840989399293286,9284,6.9996442794799805,36.907264709472656
D004,S016,D004-S016,111,0.0206013363028953,0.0847328244274809,49973,8.800395965576172,36.05844497680664
D004,S017,D004-S017,115,0.0213437268002969,0.096964586846543,12847,8.136070251464844,38.46201705932617
D004,S018,D004-S018,106,0.0196733481811432,0.0833333333333333,2674,7.934078216552734,36.50047302246094
D004,S019,D004-S019,108,0.0200445434298441,0.0782608695652174,56285,7.318274021148682,34.35161590576172
D004,S020,D004-S020,133,0.0246844840386043,0.0921690921690921,40416,6.338014125823975,36.42429733276367
D004,S021,D004-S021,108,0.0200445434298441,0.0802973977695167,21180,7.279408931732178,34.035614013671875
D004,S022,D004-S022,106,0.0196733481811432,0.0798794272795779,37434,8.029436111450195,35.483036041259766
D004,S023,D004-S023,117,0.0217149220489977,0.0881688018085908,23391,8.117429733276367,31.945863723754883
D004,S024,D004-S024,132,0.0244988864142538,0.0980683506686478,22740,7.868457317352295,33.88595199584961
D004,S026,D004-S026,124,0.0230141054194506,0.0939393939393939,41888,6.239076614379883,35.76039505004883
D004,S027,D004-S027,132,0.0244988864142538,0.1010719754977029,61145,6.829422950744629,34.148475646972656
